"","screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"45","sgenzer","37734959",2018-01-30 13:44:40,"958335152576499718","@beeonaposy @visualisingdata Communication - understanding the use case, asking good questions, explaining what a s… https://t.co/z95SpSO7RY",0,1,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958335152576499718","beeonaposy visualisingdata","215035672 137712607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Brandon_Weiss_B","607354819",2018-01-30 13:37:30,"958333351676534786","@beeonaposy Connecting to data. Knowing how to write SQL is a necessary skill, but in many situations, getting to a… https://t.co/07hEInWvGK",0,1,FALSE,NA,FALSE,NA,"958062683118624768","215035672","beeonaposy","en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958333351676534786","beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","marinereilly","1519740002",2018-01-30 13:31:31,"958331845669740546","@beeonaposy @kierisi Knowing when the data aren't good enough to answer the question",0,2,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for Android",NA,NA,NA,NA,NA,NA,"beeonaposy kierisi","215035672 2440258777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","marinereilly","1519740002",2018-01-30 13:30:27,"958331576982614016","@beeonaposy @kierisi Organization of data, code etc. In a way that is useable and would make sense to someone else… https://t.co/oko6fi8shs",0,2,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for Android",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958331576982614016","beeonaposy kierisi","215035672 2440258777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","LaughlinPaul","567474324",2018-01-30 13:27:31,"958330840471298049","@beeonaposy A range of #softerskills, but if I have to choose one, I’d say #stakeholder #management",0,0,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"beeonaposy","215035672",NA,"softerskills stakeholder management",NA,"7f55e839e1715da2","city","Camberwell","Camberwell, London","GB","United Kingdom","-0.1114755 -0.0297308 -0.0297308 -0.1114755 51.4194247 51.4194247 51.509947 51.509947","Polygon"
"50","koehrsen_will","1081734781",2018-01-30 13:26:05,"958330478569934848","@beeonaposy @BecomingDataSci A willingness to learn new technologies and use the most efficient tool for the job.",0,1,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for Android",NA,NA,NA,NA,NA,NA,"beeonaposy BecomingDataSci","215035672 2343198944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","SaraSaysData","3487595833",2018-01-30 13:05:19,"958325250315386880","@beeonaposy Plain language. Just because we CAN use great big words to impress others, doesn't mean it's useful or appropriate.",0,2,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for Android",NA,NA,NA,NA,NA,NA,"beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Clare_Lally","394964703",2018-01-30 12:46:05,"958320412835926016","@beeonaposy Coding/being able to automate things!",0,1,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","aidanskinner","13118852",2018-01-30 12:33:31,"958317248262955008","@beeonaposy @practicingdev focusing on generating relevant hypothesis and not p-hacking for fun and profit. it's a… https://t.co/VJIMnnyMju",0,1,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","TweetDeck",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958317248262955008","beeonaposy practicingdev","215035672 581092177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","rprabha","53896839",2018-01-30 12:29:20,"958316197111648256","@drob @beeonaposy Not to mention 20 versions of SQL - teradata, oracle, mysql, natezza, hql (sql for hive) and others.",0,1,FALSE,NA,FALSE,NA,"958063319956336640","46245868","drob","en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"drob beeonaposy","46245868 215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
